store_id,store_name,address,city,state,country
ST000081,Prime Pharmacy #81,155 Church Street,Mumbai,Maharashtra,India
ST000082,Metro Hypermarket #82,163 Station Road,New Delhi,Delhi,India
ST000083,Quick Convenience Store #83,14 Ring Road,Mumbai,Maharashtra,India
ST000084,Royal Grocery Store #84,12 Main Road,Mumbai,Maharashtra,India
ST000085,Green Hypermarket #85,164 Station Road,Bengaluru,Karnataka,India
ST000086,Sunrise Pharmacy #86,142 Park Avenue,Mumbai,Maharashtra,India
ST000087,Fresh Convenience Store #87,20 Market Street,Bengaluru,Karnataka,India
ST000088,Fresh Convenience Store #88,150 Hill Street,Mumbai,Maharashtra,India
ST000089,Corner Pharmacy #89,11 Station Road,Bengaluru,Karnataka,India
ST000090,Elite Hypermarket #90,92 Church Street,Bengaluru,Karnataka,India
ST000091,Star Pharmacy #91,91 Hill Street,Bengaluru,Karnataka,India
ST000092,Neighborhood Grocery Store #92,40 Church Street,New Delhi,Delhi,India
ST000093,Green Pharmacy #93,106 Main Road,Bengaluru,Karnataka,India
ST000094,Sunrise Pharmacy #94,106 Church Street,Mumbai,Maharashtra,India
ST000095,City Hypermarket #95,28 Park Avenue,New Delhi,Delhi,India
ST000096,Royal Supermarket #96,57 Church Street,Mumbai,Maharashtra,India
ST000097,Value Grocery Store #97,59 Church Street,Mumbai,Maharashtra,India
ST000098,Star Supermarket #98,103 MG Road,Bengaluru,Karnataka,India
ST000099,Royal Hypermarket #99,198 Station Road,Bengaluru,Karnataka,India
ST000100,Star Hypermarket #100,103 Hill Street,New Delhi,Delhi,India
ST000101,Fresh Hypermarket #101,67 Market Street,Bengaluru,Karnataka,India
ST000102,Prime Convenience Store #102,28 Garden Lane,Bengaluru,Karnataka,India
ST000103,Value Grocery Store #103,81 Park Avenue,New Delhi,Delhi,India
ST000104,Family Convenience Store #104,99 Garden Lane,Bengaluru,Karnataka,India
ST000105,Prime Pharmacy #105,182 Park Avenue,Bengaluru,Karnataka,India
ST000106,Family Supermarket #106,176 Church Street,New Delhi,Delhi,India
ST000107,Corner Hypermarket #107,171 MG Road,Bengaluru,Karnataka,India
ST000108,Value Convenience Store #108,32 Station Road,New Delhi,Delhi,India
ST000109,Prime Convenience Store #109,105 MG Road,New Delhi,Delhi,India
ST000110,Sunrise Grocery Store #110,142 Market Street,Mumbai,Maharashtra,India
ST000111,Corner Pharmacy #111,98 Market Street,New Delhi,Delhi,India
ST000112,Neighborhood Convenience Store #112,104 Hill Street,Mumbai,Maharashtra,India
ST000113,Prime Supermarket #113,54 Park Avenue,Mumbai,Maharashtra,India
ST000114,Neighborhood Convenience Store #114,83 Lake View Road,New Delhi,Delhi,India
ST000115,Quick Grocery Store #115,55 Hill Street,New Delhi,Delhi,India
ST000116,Green Grocery Store #116,44 Ring Road,New Delhi,Delhi,India
ST000117,Family Hypermarket #117,163 Garden Lane,New Delhi,Delhi,India
ST000118,Daily Hypermarket #118,173 Station Road,Bengaluru,Karnataka,India
ST000119,Green Pharmacy #119,38 Main Road,Bengaluru,Karnataka,India
ST000120,Metro Supermarket #120,157 Ring Road,Mumbai,Maharashtra,India
ST000121,Corner Grocery Store #121,148 Church Street,New Delhi,Delhi,India
ST000122,Quick Grocery Store #122,63 Market Street,Mumbai,Maharashtra,India
ST000123,Elite Supermarket #123,200 Park Avenue,Bengaluru,Karnataka,India
ST000124,City Pharmacy #124,133 Lake View Road,New Delhi,Delhi,India
ST000125,Family Supermarket #125,32 Lake View Road,Bengaluru,Karnataka,India
ST000126,Green Pharmacy #126,171 Hill Street,Mumbai,Maharashtra,India
ST000127,Neighborhood Convenience Store #127,194 Lake View Road,Mumbai,Maharashtra,India
ST000128,Royal Convenience Store #128,130 Park Avenue,New Delhi,Delhi,India
ST000129,Quick Convenience Store #129,191 Lake View Road,Bengaluru,Karnataka,India
ST000130,Prime Grocery Store #130,164 Station Road,Bengaluru,Karnataka,India
ST000131,Quick Convenience Store #131,62 Station Road,New Delhi,Delhi,India
ST000132,Daily Grocery Store #132,74 Church Street,New Delhi,Delhi,India
ST000133,Value Hypermarket #133,139 Ring Road,Mumbai,Maharashtra,India
ST000134,City Pharmacy #134,99 Market Street,Bengaluru,Karnataka,India
ST000135,Daily Pharmacy #135,105 MG Road,Mumbai,Maharashtra,India
ST000136,Quick Convenience Store #136,16 Church Street,Mumbai,Maharashtra,India
ST000137,Corner Grocery Store #137,179 Main Road,New Delhi,Delhi,India
ST000138,Corner Convenience Store #138,2 MG Road,Mumbai,Maharashtra,India
ST000139,Green Hypermarket #139,108 Hill Street,Mumbai,Maharashtra,India
ST000140,Green Convenience Store #140,57 Lake View Road,New Delhi,Delhi,India
ST000141,Prime Pharmacy #141,125 Main Road,Mumbai,Maharashtra,India
ST000142,Value Grocery Store #142,174 Park Avenue,New Delhi,Delhi,India
ST000143,Royal Pharmacy #143,33 Garden Lane,Mumbai,Maharashtra,India
ST000144,Fresh Convenience Store #144,152 Garden Lane,Mumbai,Maharashtra,India
ST000145,Daily Supermarket #145,110 Market Street,New Delhi,Delhi,India
ST000146,City Grocery Store #146,67 Park Avenue,Bengaluru,Karnataka,India
ST000147,Metro Hypermarket #147,84 MG Road,Mumbai,Maharashtra,India
ST000148,Prime Grocery Store #148,65 Ring Road,Mumbai,Maharashtra,India
ST000149,Fresh Grocery Store #149,139 Main Road,New Delhi,Delhi,India
ST000150,Metro Hypermarket #150,18 Main Road,New Delhi,Delhi,India
ST000151,Metro Supermarket #151,6 Garden Lane,Bengaluru,Karnataka,India
ST000152,Metro Pharmacy #152,122 Ring Road,Bengaluru,Karnataka,India
ST000153,Metro Convenience Store #153,180 Station Road,Mumbai,Maharashtra,India
ST000154,City Hypermarket #154,156 Ring Road,New Delhi,Delhi,India
ST000155,Prime Pharmacy #155,149 Main Road,Bengaluru,Karnataka,India
ST000156,Neighborhood Hypermarket #156,97 Park Avenue,New Delhi,Delhi,India
ST000157,Daily Pharmacy #157,177 Church Street,New Delhi,Delhi,India
ST000158,Sunrise Supermarket #158,176 Garden Lane,Mumbai,Maharashtra,India
ST000159,Green Supermarket #159,11 MG Road,New Delhi,Delhi,India
ST000160,Corner Convenience Store #160,95 Ring Road,New Delhi,Delhi,India
ST000161,Star Convenience Store #161,4 Park Avenue,Mumbai,Maharashtra,India
ST000162,Daily Grocery Store #162,93 Lake View Road,Mumbai,Maharashtra,India
ST000163,Corner Pharmacy #163,188 Hill Street,Bengaluru,Karnataka,India
ST000164,Neighborhood Hypermarket #164,199 Lake View Road,New Delhi,Delhi,India
ST000165,Corner Grocery Store #165,152 Station Road,New Delhi,Delhi,India
ST000166,Royal Hypermarket #166,23 Station Road,Bengaluru,Karnataka,India
ST000167,Metro Grocery Store #167,146 Garden Lane,Mumbai,Maharashtra,India
ST000168,Value Grocery Store #168,127 MG Road,Bengaluru,Karnataka,India
ST000169,Quick Pharmacy #169,91 Station Road,Bengaluru,Karnataka,India
ST000170,Prime Hypermarket #170,180 Station Road,New Delhi,Delhi,India
ST000171,Fresh Convenience Store #171,49 Ring Road,New Delhi,Delhi,India
ST000172,Sunrise Pharmacy #172,126 Hill Street,Mumbai,Maharashtra,India
ST000173,Sunrise Pharmacy #173,166 Lake View Road,Mumbai,Maharashtra,India
ST000174,Green Grocery Store #174,24 Station Road,Bengaluru,Karnataka,India
ST000175,Corner Pharmacy #175,63 Station Road,New Delhi,Delhi,India
ST000176,Value Convenience Store #176,142 Hill Street,Mumbai,Maharashtra,India
ST000177,Corner Hypermarket #177,141 MG Road,New Delhi,Delhi,India
ST000178,Sunrise Hypermarket #178,70 Station Road,Mumbai,Maharashtra,India
ST000179,Metro Hypermarket #179,185 Church Street,Bengaluru,Karnataka,India
ST000180,Daily Hypermarket #180,138 Market Street,New Delhi,Delhi,India
ST000181,Metro Pharmacy #181,124 Station Road,New Delhi,Delhi,India
ST000182,Green Convenience Store #182,153 Station Road,New Delhi,Delhi,India
ST000183,Royal Supermarket #183,76 Church Street,Bengaluru,Karnataka,India
ST000184,City Hypermarket #184,4 Hill Street,Mumbai,Maharashtra,India
ST000185,Prime Pharmacy #185,14 Hill Street,Bengaluru,Karnataka,India
ST000186,Sunrise Hypermarket #186,164 Lake View Road,Bengaluru,Karnataka,India
ST000187,Royal Supermarket #187,147 Station Road,Bengaluru,Karnataka,India
ST000188,Quick Grocery Store #188,88 Market Street,Mumbai,Maharashtra,India
ST000189,Prime Supermarket #189,30 Ring Road,Mumbai,Maharashtra,India
ST000190,Quick Grocery Store #190,148 Main Road,Bengaluru,Karnataka,India
ST000191,City Pharmacy #191,78 Ring Road,New Delhi,Delhi,India
ST000192,Daily Pharmacy #192,196 Park Avenue,New Delhi,Delhi,India
ST000193,Neighborhood Convenience Store #193,58 Hill Street,New Delhi,Delhi,India
ST000194,Quick Grocery Store #194,77 Garden Lane,Mumbai,Maharashtra,India
ST000195,Prime Grocery Store #195,159 Main Road,New Delhi,Delhi,India
ST000196,Sunrise Convenience Store #196,196 Church Street,Bengaluru,Karnataka,India
ST000197,Prime Pharmacy #197,21 Market Street,New Delhi,Delhi,India
ST000198,City Pharmacy #198,20 Market Street,New Delhi,Delhi,India
ST000199,Corner Supermarket #199,177 Garden Lane,Mumbai,Maharashtra,India
ST000200,Prime Grocery Store #200,60 Station Road,Bengaluru,Karnataka,India
ST000201,Sunrise Hypermarket #201,19 Church Street,Mumbai,Maharashtra,India
ST000202,Green Hypermarket #202,151 Church Street,New Delhi,Delhi,India
ST000203,Daily Grocery Store #203,58 Market Street,New Delhi,Delhi,India
ST000204,Royal Hypermarket #204,19 Main Road,Bengaluru,Karnataka,India
ST000205,Green Pharmacy #205,153 Garden Lane,Mumbai,Maharashtra,India
ST000206,Quick Hypermarket #206,120 Station Road,Bengaluru,Karnataka,India
ST000207,Prime Grocery Store #207,139 Lake View Road,New Delhi,Delhi,India
ST000208,Daily Grocery Store #208,11 Park Avenue,New Delhi,Delhi,India
ST000209,Neighborhood Hypermarket #209,7 Ring Road,Mumbai,Maharashtra,India
ST000210,Star Pharmacy #210,151 Main Road,New Delhi,Delhi,India
ST000211,Neighborhood Hypermarket #211,196 Market Street,Bengaluru,Karnataka,India
ST000212,Family Grocery Store #212,114 Station Road,New Delhi,Delhi,India
ST000213,Neighborhood Pharmacy #213,163 Lake View Road,Mumbai,Maharashtra,India
ST000214,Quick Supermarket #214,105 MG Road,Mumbai,Maharashtra,India
ST000215,Star Hypermarket #215,42 MG Road,Bengaluru,Karnataka,India
ST000216,Sunrise Grocery Store #216,74 Park Avenue,Mumbai,Maharashtra,India
ST000217,Fresh Convenience Store #217,23 MG Road,Mumbai,Maharashtra,India
ST000218,Value Hypermarket #218,198 Park Avenue,Bengaluru,Karnataka,India
ST000219,Royal Convenience Store #219,169 Hill Street,Bengaluru,Karnataka,India
ST000220,Corner Grocery Store #220,49 Hill Street,Bengaluru,Karnataka,India
ST000221,Neighborhood Hypermarket #221,161 Lake View Road,Mumbai,Maharashtra,India
ST000222,Metro Supermarket #222,141 Market Street,Mumbai,Maharashtra,India
ST000223,Quick Hypermarket #223,125 Ring Road,New Delhi,Delhi,India
ST000224,Star Supermarket #224,62 Market Street,New Delhi,Delhi,India
ST000225,Family Hypermarket #225,142 Park Avenue,Bengaluru,Karnataka,India
ST000226,Metro Supermarket #226,119 Ring Road,Bengaluru,Karnataka,India
ST000227,Quick Pharmacy #227,75 Hill Street,New Delhi,Delhi,India
ST000228,Corner Hypermarket #228,121 Church Street,Mumbai,Maharashtra,India
ST000229,Family Grocery Store #229,99 Church Street,Bengaluru,Karnataka,India
ST000230,Family Convenience Store #230,35 Ring Road,New Delhi,Delhi,India
ST000231,Green Hypermarket #231,88 Hill Street,Mumbai,Maharashtra,India
ST000232,Royal Hypermarket #232,73 Station Road,Bengaluru,Karnataka,India
ST000233,Neighborhood Convenience Store #233,126 Market Street,New Delhi,Delhi,India
ST000234,Family Grocery Store #234,89 MG Road,Mumbai,Maharashtra,India
ST000235,Green Convenience Store #235,97 Lake View Road,New Delhi,Delhi,India
ST000236,Royal Hypermarket #236,179 Church Street,Bengaluru,Karnataka,India
ST000237,Corner Convenience Store #237,199 Park Avenue,Bengaluru,Karnataka,India
ST000238,Value Supermarket #238,122 Park Avenue,New Delhi,Delhi,India
ST000239,Star Grocery Store #239,39 Lake View Road,New Delhi,Delhi,India
ST000240,City Supermarket #240,152 MG Road,New Delhi,Delhi,India
ST000241,Royal Supermarket #241,26 Hill Street,Mumbai,Maharashtra,India
ST000242,Fresh Grocery Store #242,37 Park Avenue,New Delhi,Delhi,India
ST000243,Daily Pharmacy #243,68 MG Road,Mumbai,Maharashtra,India
ST000244,Sunrise Convenience Store #244,167 Ring Road,Mumbai,Maharashtra,India
ST000245,Royal Hypermarket #245,137 Park Avenue,New Delhi,Delhi,India
ST000246,Star Hypermarket #246,195 Lake View Road,New Delhi,Delhi,India
ST000247,Fresh Convenience Store #247,18 Church Street,New Delhi,Delhi,India
ST000248,Metro Hypermarket #248,24 Park Avenue,New Delhi,Delhi,India
ST000249,Green Supermarket #249,181 Ring Road,New Delhi,Delhi,India
ST000250,City Grocery Store #250,77 Main Road,New Delhi,Delhi,India
ST000251,Value Supermarket #251,76 MG Road,Bengaluru,Karnataka,India
ST000252,Corner Hypermarket #252,63 Hill Street,Bengaluru,Karnataka,India
ST000253,Neighborhood Grocery Store #253,47 Market Street,New Delhi,Delhi,India
ST000254,Daily Pharmacy #254,98 Garden Lane,New Delhi,Delhi,India
ST000255,Quick Pharmacy #255,37 Church Street,New Delhi,Delhi,India
ST000256,Star Grocery Store #256,118 Station Road,Mumbai,Maharashtra,India
ST000257,Elite Supermarket #257,74 Hill Street,Mumbai,Maharashtra,India
ST000258,Daily Pharmacy #258,89 Garden Lane,Mumbai,Maharashtra,India
ST000259,Star Hypermarket #259,177 Station Road,Mumbai,Maharashtra,India
ST000260,Royal Grocery Store #260,51 Park Avenue,Mumbai,Maharashtra,India
ST000261,Daily Grocery Store #261,98 Garden Lane,Bengaluru,Karnataka,India
ST000262,Neighborhood Hypermarket #262,180 Station Road,Mumbai,Maharashtra,India
ST000263,Royal Supermarket #263,102 Station Road,New Delhi,Delhi,India
ST000264,Neighborhood Supermarket #264,200 Main Road,New Delhi,Delhi,India
ST000265,Sunrise Convenience Store #265,74 Church Street,Mumbai,Maharashtra,India
ST000266,Green Convenience Store #266,57 Church Street,Mumbai,Maharashtra,India
ST000267,Prime Convenience Store #267,194 Market Street,New Delhi,Delhi,India
ST000268,Elite Supermarket #268,166 Main Road,New Delhi,Delhi,India
ST000269,Green Hypermarket #269,9 Garden Lane,Mumbai,Maharashtra,India
ST000270,Sunrise Hypermarket #270,24 Station Road,Bengaluru,Karnataka,India
ST000271,Sunrise Hypermarket #271,45 Church Street,Mumbai,Maharashtra,India
ST000272,Green Pharmacy #272,94 Hill Street,New Delhi,Delhi,India
ST000273,Elite Convenience Store #273,43 Station Road,Mumbai,Maharashtra,India
ST000274,Green Grocery Store #274,192 MG Road,Mumbai,Maharashtra,India
ST000275,Quick Supermarket #275,37 Church Street,Bengaluru,Karnataka,India
ST000276,Royal Grocery Store #276,94 Ring Road,New Delhi,Delhi,India
ST000277,Fresh Grocery Store #277,138 Ring Road,Mumbai,Maharashtra,India
ST000278,Value Grocery Store #278,192 Station Road,New Delhi,Delhi,India
ST000279,Corner Convenience Store #279,96 Ring Road,New Delhi,Delhi,India
ST000280,Quick Pharmacy #280,159 Hill Street,Bengaluru,Karnataka,India
ST000281,Elite Hypermarket #281,57 Ring Road,New Delhi,Delhi,India
ST000282,Elite Grocery Store #282,78 Park Avenue,New Delhi,Delhi,India
ST000283,City Supermarket #283,10 Station Road,Bengaluru,Karnataka,India
ST000284,Daily Grocery Store #284,61 Hill Street,Bengaluru,Karnataka,India
ST000285,Corner Pharmacy #285,95 Hill Street,Mumbai,Maharashtra,India
ST000286,Neighborhood Grocery Store #286,187 Market Street,New Delhi,Delhi,India
ST000287,Star Grocery Store #287,126 Garden Lane,Bengaluru,Karnataka,India
ST000288,Prime Grocery Store #288,177 MG Road,Bengaluru,Karnataka,India
ST000289,Quick Pharmacy #289,61 MG Road,Mumbai,Maharashtra,India
ST000290,Star Supermarket #290,140 MG Road,Mumbai,Maharashtra,India
ST000291,Corner Supermarket #291,49 Ring Road,Mumbai,Maharashtra,India
ST000292,Daily Grocery Store #292,55 Garden Lane,New Delhi,Delhi,India
ST000293,Fresh Supermarket #293,63 Market Street,Mumbai,Maharashtra,India
ST000294,Metro Convenience Store #294,196 Hill Street,Bengaluru,Karnataka,India
ST000295,Neighborhood Pharmacy #295,60 MG Road,Bengaluru,Karnataka,India
ST000296,Green Pharmacy #296,1 Station Road,New Delhi,Delhi,India
ST000297,City Pharmacy #297,65 Market Street,New Delhi,Delhi,India
ST000298,Star Supermarket #298,34 Main Road,Bengaluru,Karnataka,India
ST000299,Green Hypermarket #299,151 MG Road,Bengaluru,Karnataka,India
ST000300,City Supermarket #300,14 Market Street,Mumbai,Maharashtra,India
ST000301,Family Grocery Store #301,191 Ring Road,Bengaluru,Karnataka,India
ST000302,Quick Grocery Store #302,132 Garden Lane,Mumbai,Maharashtra,India
ST000303,Quick Supermarket #303,57 Garden Lane,New Delhi,Delhi,India
ST000304,Sunrise Supermarket #304,134 Station Road,New Delhi,Delhi,India
ST000305,Star Grocery Store #305,16 Lake View Road,Bengaluru,Karnataka,India
ST000306,Corner Grocery Store #306,28 Lake View Road,New Delhi,Delhi,India
ST000307,Daily Grocery Store #307,83 Garden Lane,Bengaluru,Karnataka,India
ST000308,Daily Pharmacy #308,71 Garden Lane,Bengaluru,Karnataka,India
ST000309,Family Convenience Store #309,84 Park Avenue,New Delhi,Delhi,India
ST000310,Family Convenience Store #310,117 Hill Street,Mumbai,Maharashtra,India
ST000311,Corner Convenience Store #311,180 Ring Road,Bengaluru,Karnataka,India
ST000312,Sunrise Convenience Store #312,111 Lake View Road,Bengaluru,Karnataka,India
ST000313,Corner Pharmacy #313,117 Park Avenue,Mumbai,Maharashtra,India
ST000314,Sunrise Grocery Store #314,81 Park Avenue,Bengaluru,Karnataka,India
ST000315,Star Hypermarket #315,96 Market Street,Mumbai,Maharashtra,India
ST000316,Daily Grocery Store #316,22 Ring Road,Bengaluru,Karnataka,India
ST000317,Daily Grocery Store #317,190 MG Road,New Delhi,Delhi,India
ST000318,Family Pharmacy #318,151 Hill Street,Bengaluru,Karnataka,India
ST000319,Value Convenience Store #319,32 Park Avenue,New Delhi,Delhi,India
ST000320,Royal Hypermarket #320,193 Park Avenue,New Delhi,Delhi,India
ST000321,Prime Supermarket #321,80 MG Road,New Delhi,Delhi,India
ST000322,Neighborhood Supermarket #322,55 Market Street,New Delhi,Delhi,India
ST000323,Metro Grocery Store #323,90 Hill Street,Bengaluru,Karnataka,India
ST000324,Daily Hypermarket #324,147 Church Street,Mumbai,Maharashtra,India
ST000325,Royal Grocery Store #325,197 Garden Lane,New Delhi,Delhi,India
ST000326,Star Convenience Store #326,143 Main Road,New Delhi,Delhi,India
ST000327,Elite Convenience Store #327,178 Station Road,New Delhi,Delhi,India
ST000328,City Supermarket #328,180 Station Road,Mumbai,Maharashtra,India
ST000329,Value Hypermarket #329,47 Market Street,Bengaluru,Karnataka,India
ST000330,Star Convenience Store #330,18 Market Street,Mumbai,Maharashtra,India
ST000331,Daily Supermarket #331,136 Church Street,New Delhi,Delhi,India
ST000332,Corner Grocery Store #332,88 Market Street,Mumbai,Maharashtra,India
ST000333,Prime Hypermarket #333,84 Garden Lane,New Delhi,Delhi,India
ST000334,Daily Convenience Store #334,40 Market Street,Bengaluru,Karnataka,India
ST000335,Fresh Convenience Store #335,21 Station Road,New Delhi,Delhi,India
ST000336,Star Grocery Store #336,125 Garden Lane,Mumbai,Maharashtra,India
ST000337,Corner Grocery Store #337,56 Hill Street,Mumbai,Maharashtra,India
ST000338,Value Supermarket #338,29 Station Road,Mumbai,Maharashtra,India
ST000339,Quick Convenience Store #339,171 Station Road,New Delhi,Delhi,India
ST000340,Metro Supermarket #340,154 Main Road,Mumbai,Maharashtra,India
ST000341,Metro Supermarket #341,55 Market Street,Mumbai,Maharashtra,India
ST000342,Prime Hypermarket #342,31 Main Road,Mumbai,Maharashtra,India
ST000343,Sunrise Grocery Store #343,45 Market Street,Mumbai,Maharashtra,India
ST000344,Family Grocery Store #344,59 Hill Street,New Delhi,Delhi,India
ST000345,Royal Convenience Store #345,91 Ring Road,New Delhi,Delhi,India
ST000346,Royal Grocery Store #346,11 Park Avenue,New Delhi,Delhi,India
ST000347,Quick Supermarket #347,81 Garden Lane,Bengaluru,Karnataka,India
ST000348,Neighborhood Grocery Store #348,182 Park Avenue,Mumbai,Maharashtra,India
ST000349,Daily Hypermarket #349,6 MG Road,Mumbai,Maharashtra,India
ST000350,Green Pharmacy #350,118 MG Road,New Delhi,Delhi,India
ST000351,Corner Supermarket #351,63 Park Avenue,Bengaluru,Karnataka,India
ST000352,Corner Convenience Store #352,21 Park Avenue,New Delhi,Delhi,India
ST000353,Sunrise Hypermarket #353,57 MG Road,Mumbai,Maharashtra,India
ST000354,Daily Pharmacy #354,163 Ring Road,New Delhi,Delhi,India
ST000355,Family Convenience Store #355,199 MG Road,Bengaluru,Karnataka,India
ST000356,Sunrise Hypermarket #356,38 Church Street,New Delhi,Delhi,India
ST000357,City Supermarket #357,51 Market Street,Mumbai,Maharashtra,India
ST000358,City Convenience Store #358,20 Market Street,New Delhi,Delhi,India
ST000359,Quick Grocery Store #359,195 Garden Lane,New Delhi,Delhi,India
